date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:06	0/0	---MC-	400	error ('Bad%20Request')	text/html	date:Tue,%2025%20Apr%202023%2012:59:45%20GMT	https://support.light.co/l16-photography/<?php%20echo%20$site->url()%20?>/assets/images/arrow_down_4x.png	C:/My%20Web%20Sites/L16%20photography%20blog/support.light.co/l16-photography/_.22219a.delayed	(from https://support.light.co/l16-photography/l16-tech-part-1)
14:00:06	20667/20667	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2025%20Apr%202023%2012:41:05%20GMT	https://support.light.co/assets/easyxdm/easyxdm.min.js	C:/My%20Web%20Sites/L16%20photography%20blog/support.light.co/assets/easyxdm/easyxdm.min.js	(from https://support.light.co/l16-photography/l16-tech-part-1)
14:00:06	111818/111818	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2010%20Nov%202022%2011:53:53%20GMT	https://static.helpjuice.com/assets/template-ac5762484172e351a5f18410317060e84937bca7ebf92c7f499fc688f7706db6.js	C:/My%20Web%20Sites/L16%20photography%20blog/static.helpjuice.com/assets/template-ac5762484172e351a5f18410317060e84937bca7ebf92c7f499fc688f7706db6.js	(from https://support.light.co/l16-photography/l16-tech-part-1)
14:00:06	1991/1991	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2025%20Apr%202023%2012:41:05%20GMT	https://support.light.co/assets/questions_widget.js	C:/My%20Web%20Sites/L16%20photography%20blog/support.light.co/assets/questions_widget.js	(from https://support.light.co/l16-photography/l16-tech-part-1)
14:00:07	84280/84280	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-14938%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.1/jquery.min.js	C:/My%20Web%20Sites/L16%20photography%20blog/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.1/jquery.min.js	(from https://support.light.co/l16-photography/l16-tech-part-1)
14:00:07	240427/240427	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-3ab2b%22	https://cdnjs.cloudflare.com/ajax/libs/jqueryui/1.11.4/jquery-ui.min.js	C:/My%20Web%20Sites/L16%20photography%20blog/cdnjs.cloudflare.com/ajax/libs/jqueryui/1.11.4/jquery-ui.min.js	(from https://support.light.co/l16-photography/l16-tech-part-1)
14:00:07	41953/41953	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fd5-a3e1%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.min.js	C:/My%20Web%20Sites/L16%20photography%20blog/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.min.js	(from https://support.light.co/l16-photography/l16-tech-part-1)
14:00:07	5039/5039	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2019%20Apr%202022%2020:47:01%20GMT	https://static.helpjuice.com/assets/knowledge/responsivemenu-86a17116950142b41426c04b0f042c7bcdf0519b7f4e7a9fe1e9d67b48f9b46b.js	C:/My%20Web%20Sites/L16%20photography%20blog/static.helpjuice.com/assets/knowledge/responsivemenu-86a17116950142b41426c04b0f042c7bcdf0519b7f4e7a9fe1e9d67b48f9b46b.js	(from https://support.light.co/l16-photography/l16-tech-part-1)
14:00:08	1433/1433	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2019%20Apr%202022%2020:47:01%20GMT	https://static.helpjuice.com/assets/jquery.typewatch-14c782b50fde070c995ed3582b19df3e16cd2bf989f259f7b82121913d6b7210.js	C:/My%20Web%20Sites/L16%20photography%20blog/static.helpjuice.com/assets/jquery.typewatch-14c782b50fde070c995ed3582b19df3e16cd2bf989f259f7b82121913d6b7210.js	(from https://support.light.co/l16-photography/l16-tech-part-1)
14:00:08	3314/3314	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2019%20Apr%202022%2020:47:01%20GMT	https://static.helpjuice.com/assets/knowledge/questions-5f7c86b585e58e01f6b6cb825fcb20b7c719be6b7aaa7b9f1f27cc29c5ae68c2.js	C:/My%20Web%20Sites/L16%20photography%20blog/static.helpjuice.com/assets/knowledge/questions-5f7c86b585e58e01f6b6cb825fcb20b7c719be6b7aaa7b9f1f27cc29c5ae68c2.js	(from https://support.light.co/l16-photography/l16-tech-part-1)
